ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,2/28/2020 12:00:00 AM,$0.14,$0.16,$0.10,$0.13,51295
Sanders,2/28/2020 12:00:00 AM,$0.31,$0.33,$0.28,$0.33,16148
Pence,2/28/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6635
Trump,2/28/2020 12:00:00 AM,$0.54,$0.55,$0.52,$0.53,29256
Gillibrand,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1102
Haley,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,150
Ryan,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Rourke,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,400
Brown,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,20170
Bloomberg,2/28/2020 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,34607
Yang,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2094
Buttigieg,2/28/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.03,18553
Gabbard,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,250
Clinton,2/28/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1356
Steyer,2/28/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1150
